post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16yz0x3,k3bm07w,whose talent team waste school,knew utilizing nico collins enough watching pros proves whose talent school waste,"['michigan', 'littlebrownjug']","['georgia', 'piedmont']",justin fields get fromm guy never really gave us reason play fields menace college
16s9nct,k2ah210,honest scale one 10 satisfied teams current logo,penn 5 logo forever brand wish would branch experiment alternates except paw print dont talk paw print 8 love tigerhawk im fan variation gold tigerhawk black circle,"['pennstate2', 'iowa']","['georgia', 'piedmont']",610 know g timeless sometimes wish wed use one old bulldog logos also idk kirby black jerseys weve worn like
16hxs91,k0jcw76,unpopular opinion team,whats opinion team fan base fans team would disagree mine id like keep playing land feet think hatred thats increased offseason would make games fun watch,['oregonstate'],"['georgia', 'piedmont']",dont think play tech anymore rivalry pretty lopsided awhile dont see changing anytime soon id much rather go back playing clemson every year
