post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
189z8v2,kbuczpk,thamel injured fsu quarterback jordan travis wish broke leg earlier season yall could see team much quarterback,nan,['usc'],"['pittsburgh', 'catholic']",system sucks end result system 23 year old kid tweeting wished broke leg earlier apologizing breaking leg
16ql0u1,k1yi90y,usc arizona 1030,uscfuscusc arizona location arizona mountain america time 1030 watch tv foxlfox odds spread usc 34 overunder 615 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['catholic', 'washington']",bill belichick watching skatebo thinking guy make fantastic 2nd rounder
16ql0uy,k1y57s5,california washington 1030,location husky time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['catholic', 'washington']",washington running seems like either 20 yard gain less 2 yards
16ql0uy,k1y77b6,california washington 1030,location husky time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['catholic', 'washington']",washington still time throw cal due turnover
16ql0uy,k1yayed,california washington 1030,location husky time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['catholic', 'washington']",fact washington missing nfl caliber receiver today doesnt matter slightest offense insane
193kpui,kh9w3u5,chris low clowespn x nick saban retiring sources tell espn six national titles,nan,"['rutgers', 'oregon']","['pittsburgh', 'catholic']",praying bama throw truckload money mike tomlin
16kk467,k0wtlqx,pittsburgh west virginia 730,west virginia location west milan puskar time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pittsburgh', 'catholic']",like watching childhood steelers play childhood steelers run run run run love
16kk467,k0wyzh6,pittsburgh west virginia 730,west virginia location west milan puskar time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pittsburgh', 'catholic']",zero chance backup worse equally bad possible worse nope
16w91ub,k2w1ivh,usc colorado 1200,uscfuscusc location folsom time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['catholic', 'washington']",thing save colorado right cam skattebo transfers halftime
