post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
17tlq6f,k8xmeu5,thamel early list potential names knowing money object lane kiffin mike elko mike norvell dan lanning jeff traylor chris klieman kliff kingsbury kalen deboer,,"['georgia2', 'awardfestival']","['usac', 'tokyotech']",wonder would possible get andy reid
182v9ux,kalx107,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate2', 'tokyotech']",wonder ou would played
17sxef4,k8tivug,penn 1200,penn location penn statefpennstate beaver time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate2', 'tokyotech']",allar gonna get head taken hes careful
17sxef4,k8tqf7y,penn 1200,penn location penn statefpennstate beaver time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate2', 'tokyotech']",penn banking defensive score point
17dhxtg,k5xhelk,arizona washington 1030,arizona location husky time 1030 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usac', 'tokyotech']",last everyone saying elite offenses cfb lmaooooooooooo
17dhxtg,k5xm9nh,arizona washington 1030,arizona location husky time 1030 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usac', 'tokyotech']",win lose cannot go 250 yds 0 tds 2 ints 15 team home heisman frontrunner theyre guys like jj jd5
17d4h6j,k5unef6,penn ohio 1200,penn ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usac', 'tokyotech']",watching teams play compared cute
