post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
169aftq,jz0v7o9,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'kalamazoo']",celsius goal net sport becoming monetized looks like parody
16swab0,k2bmf3i,lou holtz walk back said ohio dan dakichs dont,thats choice understand holtz said doesnt want talk know 02 doesnt want talk big coming penn holtz said continuing needle hes great coach holtz said tuesday hes done tremendous job great offensive mind ohio states good team dont think theyre great team go wants honestly felt notre dame better physical im sorry coach day offended hope goes wonderful year dont think theyll great team really dont,"['wisconsin', 'bigpacc']","['michigan', 'kalamazoo']",hate osu every fiber body dont get lou talked shit ohio ohio day talked toughness proud lou says go wants feels like lou started shit backtracked immediately nd lost trying paint day aggressor dont get missing something
16kk406,k0wygq2,bowling green 730,bowling green location time 730 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'kalamazoo']",one weeks college every top team collectively looks bad together make look less bad
16kk406,k0x4dz1,bowling green 730,bowling green location time 730 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'kalamazoo']",best part touchdown audible fuck ohio chant afterwords
17sxef4,k8tw3dt,penn 1200,penn location penn statefpennstate beaver time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'kalamazoo']",1000 iq throwing pick really get first get db ejected
16a716p,jz6mty6,clemson duke 800,dukefdukeduke location dukefduke wallace wade time 800 watch tv espnlespn odds spread clem 13 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'presscorps']","['michigan', 'kalamazoo']",simultaneously targeting extend clemsons drive refs messed lol
18u1f6v,kfi8f3l,cotton bowl ohio missouri 800,ohio location att time 800 watch tv espnlespn espnlespn odds spread osu 5 overunder 495 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'kalamazoo']",anything showing perhaps doesnt dogshit offense like espn says
16hxs91,k0gnfw2,unpopular opinion team,whats opinion team fan base fans team would disagree mine id like keep playing land feet think hatred thats increased offseason would make games fun watch,['oregonstate'],"['michigan', 'kalamazoo']",fanbase annoying hell annoying ohio states fan base havent run like yet please also 2 rival dont play notre dame
