post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
168z6sg,jyzgq0m,northwestern rutgers 1200,location rutgersfrutgers shi time 1200 watch tv cbslcbs odds spread rutg 65 overunder 405 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['minnesota', 'delaware']","['northwestern', 'uncpembroke']",students northwesterns medical school putting together supercut teams offensive snaps todayi theory cure insomnia
168z6sg,jyz1nsc,northwestern rutgers 1200,location rutgersfrutgers shi time 1200 watch tv cbslcbs odds spread rutg 65 overunder 405 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['minnesota', 'delaware']","['northwestern', 'uncpembroke']",almost shame northwestern doesnt face ohio year nu might open either 55point underdog
168z6sg,jyz4zay,northwestern rutgers 1200,location rutgersfrutgers shi time 1200 watch tv cbslcbs odds spread rutg 65 overunder 405 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['minnesota', 'delaware']","['northwestern', 'uncpembroke']",joke struggling score 25 points per im worried northwestern might score 25 points b1g games season total
16w91v4,k2wk5wy,penn northwestern 1200,penn location ryan time 1200 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northwestern', 'uncpembroke']",pretend last 5 minutes didnt happen 2score bad nu
16we4il,k2wn5rd,nebraska 330,location memorial lincoln ne time 330 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northwestern', 'uncpembroke']",okay morning slate 22 b1g west team take top10 b1g east foe halftime tied eyes nebraska
