post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
177ix9d,k4t76vb,postgame stanford defeats colorado 4643 2ot,box score provided team 1 2 3 4 ot made rcfb,['rcfb'],"['unsw', 'korea']",troy taylor xanax interview fucking chill comeback
166pzeu,jyllw2b,nebraska minnesota 800,location huntington bank time 800 watch tv foxlfox odds spread minn 7 overunder 435 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['minnesota', 'delaware']","['unsw', 'korea']",joel klatt probably broadcaster id feel confident could solo cast entire theyre good work
168jxt0,jywscy8,coastal carolina ucla 1030,coastal carolina uclafuclaucla location uclafucla rose bowl time 1030 watch tv espnlespn odds spread ucla 145 overunder 655 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['ohiostate3', 'georgia']","['unsw', 'korea']",holy shit flicked wrist throw ball away went like fucking rocket
172jjof,k3xm84h,fresno wyoming 800,fresno location wyomingfwyoming jonah war memorial time 800 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['unsw', 'korea']",watching guy lose bet pushups national television cohosts eating sponsored popcorn really vibe half
