post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ktcfe,k0y3zs6,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['baltimore', 'prattcc']",30 yards took take hunter pi cheap shot fuck kid fort collins
16knfug,k0xdivg,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baltimore', 'prattcc']",cu player would fucking flattened player hit sanders pushed goal post
16knfug,k0xe7qf,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baltimore', 'prattcc']",decided accept penalty stupid
16knfug,k0xquai,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baltimore', 'prattcc']",norvell gonna play kamara busted knee guys mama certified dirty doesnt even care guys bigger ego deion
16knfug,k0xtd90,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baltimore', 'prattcc']",grass cramps preamps better alternative
1684osx,jyum8o6,colorado tcu 1200,tcuftcutcu location tcuftcu amon g carter time 1200 watch tv foxlfox odds spread tcu 205 overunder 645 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'ucla']","['baltimore', 'prattcc']",gonna put hot tub plane
