post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
177ix9d,k4t86ib,postgame stanford defeats colorado 4643 2ot,box score provided team 1 2 3 4 ot made rcfb,['rcfb'],"['colorado', 'stonehill']",doomers back full force tonight worst cu since well last year
17u9orp,k9371a5,discussions hunt new coach terrifying prospect nearly every school college even slightly good,schools safe ones already level better etc everyone else clench power 2 schools probably little bit safer rest kalen deboer dan lanning could definitely go chasing massive payday theyve got pretty good thing going respective teams move big ten next year likely going ranking top 34 conference foreseeable future competition opportunities play national stage equal big ten sec theyre really leaving anything table since theyre already highest level well maybe except lot money big danger schools big 12 acc good coach mike norvell mike elko lance leipold sonny dykes could even list schools trying keep quiet hoping evil spirit passes theyve got really hope coaches content staying people saying 2nd tier college league think guys would actually stay kind opportunity course theres huge risk schools getting relegated jonathan smith list yeah hes guy resources paycheck offer enough turn anyone especially faced prospect going g5 better hoping urban meyer comes retirement saves nightmare going get coach want,"['texas', 'sec']","['colorado', 'stonehill']",fans disassociation reality fan base program even played conference title 20 years 4 top 5 10 top 10 finishes since ww2 one coming covid season yet convinced top 10 program reference buffs 9 top 10 5 top 5 finishes time frame despite basically existing since 2005 case get fans think top program resources talent one 70 years history suggests 1525 range program
15gi1h4,juiusij,anyone happy,fans perspective anyone happy cfb direction going general reading community would say one happy maybe im wrong could fans something ncaa power anymore politicians interested reelection power lies conferences beholden collective universities fans routinely cause change university level different measures end coaches ads getting fired know kumbaya pie sky feels like fans dont anything complicit death want cfb,"['kentucky', 'chaos']","['colorado', 'stonehill']",real winners ucf utah probably byu tcu well since rejoined p5 ranks banished big east p12 likely destroyed teams two coasts lost traditional setups even still frankenstein b12 lost lot traditional matchups well
15i4lvq,jus7leb,whatever heck going today,even sure anymore location everywhere time odds spread pac12lpac12 14 made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['colorado', 'stonehill']",sucks bad im glad back ancestral home big 12 watch 100 year old conference get ripped apart tv dollars awful wasnt really old enough time understand monumental collapse big east sure hell understand everyone going seems like youre region college isnt number one priority tv networks make sure best properties gobbled leave rest programs dead
17xw6oo,k9qcw1h,colorado washington 1030,washington location washington gesa time 1030 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['colorado', 'stonehill']",cu fans seriously mad said deion may good coach lol
18hglre,kd6sp31,nonconference matchup dont happen often played often,thinking recently weird team illinois rarely ever plays nonconference fbs team northern illinois guys nonconference games either never happen dont happen commonly played often feel free leave reason well,"['illinois', 'auburn2']","['colorado', 'stonehill']",big 8 needs reform start killing playing hate wasis real
15z2rv0,jxfkkv9,teams embarrassing miserable worst result time,want answers,"['wichitastate', 'applecup']","['colorado', 'stonehill']",ohh boy begin probably 2005 big 12 title embree years absolute beat downs
